Constituency name,Region,Winner,con_pct,lab_pct,ldem_pct,grn_pct,snp_pct,pc_pct,ref_pct,rstr_pct,ind_pct,oth_pct
Gateshead Central and Whickham,Northern England,Lab,11.5,45.4,12.4,8.0,0.0,0.0,21.4,0.0,0.0,1.3
Gedling,Midlands,Lab,23.4,47.8,5.1,6.4,0.0,0.0,16.9,0.0,0.5,0.0
Gillingham and Rainham,Southern England,Lab,28.2,37.8,5.5,5.6,0.0,0.0,21.4,0.0,0.8,0.7
Glasgow East,Scotland,Lab,4.8,43.9,2.5,7.7,33.2,0.0,6.7,0.0,0.0,1.3
Glasgow North,Scotland,Lab,3.9,42.2,3.3,12.2,32.0,0.0,4.8,0.0,0.0,1.6
Glasgow North East,Scotland,Lab,3.5,45.9,1.7,7.2,32.3,0.0,6.7,0.0,0.0,2.7
Glasgow South,Scotland,Lab,3.8,41.8,3.1,13.1,32.0,0.0,4.1,0.0,0.0,2.2
Glasgow South West,Scotland,Lab,3.9,43.6,2.7,7.6,34.4,0.0,6.3,0.0,0.0,1.5
Glasgow West,Scotland,Lab,4.3,46.7,3.3,9.2,30.5,0.0,5.3,0.0,0.0,0.8
Glastonbury and Somerton,Southern England,LDem,28.9,6.5,42.7,5.7,0.0,0.0,16.1,0.0,0.0,0.0
Glenrothes and Mid Fife,Scotland,Lab,5.5,44.3,4.4,0.0,36.1,0.0,9.8,0.0,0.0,0.0
Gloucester,Southern England,Lab,28.5,36.1,10.4,5.0,0.0,0.0,16.0,0.0,0.7,3.2
Godalming and Ash,Southern England,Con,42.6,5.0,41.0,2.3,0.0,0.0,8.8,0.0,0.0,0.4
Goole and Pocklington,Northern England,Con,38.2,31.0,6.8,4.9,0.0,0.0,18.2,0.0,0.9,0.0
Gordon and Buchan,Scotland,Con,32.9,10.7,16.7,0.0,30.9,0.0,8.9,0.0,0.0,0.0
Gorton and Denton,Northern England,Lab,7.9,50.8,3.8,13.2,0.0,0.0,14.1,0.0,0.0,10.3
Gosport,Southern England,Con,40.3,26.6,9.1,4.4,0.0,0.0,18.0,0.0,0.8,0.8
Gower,Wales,Lab,18.9,43.4,5.5,5.3,0.0,8.3,18.1,0.0,0.6,0.0
Grantham and Bourne,Midlands,Con,36.4,26.6,4.4,5.6,0.0,0.0,20.4,0.0,3.6,3.1
Gravesham,Southern England,Lab,32.2,38.5,3.5,5.2,0.0,0.0,20.6,0.0,0.0,0.0
Great Grimsby and Cleethorpes,Northern England,Lab,22.6,41.9,2.8,3.0,0.0,0.0,28.8,0.0,0.0,0.9
Great Yarmouth,Southern England,Ref,24.6,31.8,2.7,4.3,0.0,0.0,35.3,0.0,0.9,0.4
Greenwich and Woolwich,London,Lab,11.4,56.2,9.0,13.2,0.0,0.0,7.7,0.0,0.7,1.7
Guildford,Southern England,LDem,30.0,8.1,47.5,4.7,0.0,0.0,9.1,0.0,0.0,0.5
Hackney North and Stoke Newington,London,Lab,8.4,59.5,3.8,22.6,0.0,0.0,3.1,0.0,2.0,0.5
Hackney South and Shoreditch,London,Lab,5.0,59.3,4.8,23.9,0.0,0.0,3.8,0.0,0.0,3.2
Halesowen,Midlands,Lab,27.6,38.9,5.9,5.6,0.0,0.0,22.0,0.0,0.0,0.0
Halifax,Northern England,Lab,19.6,35.1,5.9,10.3,0.0,0.0,19.4,0.0,3.4,6.3
Hamble Valley,Southern England,Con,36.4,16.2,27.5,4.3,0.0,0.0,15.2,0.0,0.0,0.3
Hamilton and Clyde Valley,Scotland,Lab,10.9,49.9,3.6,0.0,27.4,0.0,7.8,0.0,0.0,0.3
Hammersmith and Chiswick,London,Lab,19.1,52.3,9.3,9.7,0.0,0.0,6.4,0.0,0.0,3.2
Hampstead and Highgate,London,Lab,17.4,48.3,12.7,13.7,0.0,0.0,6.1,0.0,0.8,1.1
"Harborough, Oadby and Wigston",Midlands,Con,36.9,32.2,9.4,8.5,0.0,0.0,12.6,0.0,0.0,0.4
Harlow,Southern England,Lab,31.8,37.6,3.1,5.2,0.0,0.0,21.8,0.0,0.0,0.4
Harpenden and Berkhamsted,Southern England,LDem,30.5,7.5,50.2,3.6,0.0,0.0,7.8,0.0,0.0,0.4
Harrogate and Knaresborough,Northern England,LDem,30.2,8.0,46.1,3.4,0.0,0.0,10.9,0.0,1.5,0.0
Harrow East,London,Con,53.3,28.9,3.2,4.2,0.0,0.0,4.6,0.0,4.4,1.5
Harrow West,London,Lab,29.2,43.8,5.3,5.4,0.0,0.0,5.8,0.0,10.5,0.0
Hartlepool,Northern England,Lab,21.9,46.2,1.6,2.3,0.0,0.0,24.5,0.0,2.5,0.9
Harwich and North Essex,Southern England,Con,34.4,32.0,7.4,5.8,0.0,0.0,20.4,0.0,0.0,0.0
Hastings and Rye,Southern England,Lab,22.8,41.6,5.6,12.5,0.0,0.0,16.1,0.0,0.3,1.1
Havant,Southern England,Con,30.8,30.6,7.8,6.8,0.0,0.0,23.6,0.0,0.0,0.5
Hayes and Harlington,London,Lab,21.9,53.3,3.4,5.6,0.0,0.0,10.7,0.0,0.0,5.2
Hazel Grove,Northern England,LDem,19.6,23.5,37.7,3.8,0.0,0.0,15.1,0.0,0.0,0.2
Hemel Hempstead,Southern England,Lab,27.2,38.2,11.6,5.6,0.0,0.0,17.4,0.0,0.0,0.0
Hendon,London,Lab,38.4,38.4,4.8,6.5,0.0,0.0,7.4,0.0,0.0,4.6
Henley and Thame,Southern England,LDem,33.2,6.7,45.0,3.8,0.0,0.0,9.8,0.0,0.6,1.0
Hereford and South Herefordshire,Midlands,Con,32.6,29.8,11.7,7.0,0.0,0.0,18.4,0.0,0.5,0.0
Herne Bay and Sandwich,Southern England,Con,35.3,30.2,5.5,7.2,0.0,0.0,21.7,0.0,0.0,0.0
Hertford and Stortford,Southern England,Lab,29.7,38.5,7.7,8.1,0.0,0.0,15.4,0.0,0.0,0.5
Hertsmere,Southern England,Con,44.7,28.0,7.7,4.7,0.0,0.0,13.7,0.0,1.1,0.0
Hexham,Northern England,Lab,39.1,46.3,4.6,4.8,0.0,0.0,0.0,0.0,2.9,2.3
Heywood and Middleton North,Northern England,Lab,17.3,40.6,6.2,0.0,0.0,0.0,24.2,0.0,11.7,0.0
High Peak,Midlands,Lab,29.7,45.8,3.5,6.9,0.0,0.0,14.1,0.0,0.0,0.0
Hinckley and Bosworth,Midlands,Con,35.6,18.0,24.3,3.2,0.0,0.0,18.4,0.0,0.4,0.0
Hitchin,Southern England,Lab,28.5,43.9,9.4,5.0,0.0,0.0,12.9,0.0,0.0,0.3
Holborn and St Pancras,London,Lab,7.2,48.9,5.8,10.4,0.0,0.0,6.1,0.0,20.7,0.8
Honiton and Sidmouth,Southern England,LDem,32.2,5.8,45.4,2.8,0.0,0.0,12.4,0.0,0.9,0.5
Hornchurch and Upminster,London,Con,32.5,27.6,5.1,5.6,0.0,0.0,28.4,0.0,0.8,0.0
Hornsey and Friern Barnet,London,Lab,8.2,58.7,12.5,14.5,0.0,0.0,4.1,0.0,0.0,1.9
Horsham,Southern England,LDem,34.4,10.8,39.0,3.9,0.0,0.0,11.0,0.0,0.0,0.9
Houghton and Sunderland South,Northern England,Lab,13.8,47.1,5.7,4.3,0.0,0.0,29.1,0.0,0.0,0.0
Hove and Portslade,Southern England,Lab,12.8,52.4,5.9,14.3,0.0,0.0,8.8,0.0,5.9,0.0
Huddersfield,Northern England,Lab,16.3,37.6,4.3,26.3,0.0,0.0,15.4,0.0,0.0,0.0
Huntingdon,Southern England,Con,35.1,32.2,9.3,5.8,0.0,0.0,15.4,0.0,2.2,0.0
Hyndburn,Northern England,Lab,28.9,33.5,3.3,13.6,0.0,0.0,20.7,0.0,0.0,0.0
Ilford North,London,Lab,20.5,33.4,2.3,3.8,0.0,0.0,7.7,0.0,32.2,0.0
Ilford South,London,Lab,14.9,40.2,3.3,8.3,0.0,0.0,5.7,0.0,23.4,4.2
Inverclyde and Renfrewshire West,Scotland,Lab,7.1,46.9,3.1,2.9,31.1,0.0,6.1,0.0,0.9,1.8
"Inverness, Skye and West Ross-shire",Scotland,LDem,5.2,13.0,37.8,4.2,33.3,0.0,6.1,0.0,0.0,0.4
Ipswich,Southern England,Lab,26.5,43.3,5.1,8.3,0.0,0.0,15.9,0.0,0.0,0.8
Isle of Wight East,Southern England,Con,30.6,18.4,10.4,18.5,0.0,0.0,20.8,0.0,1.2,0.0
Isle of Wight West,Southern England,Lab,29.3,38.6,7.9,6.7,0.0,0.0,17.0,0.0,0.0,0.3
Islington North,London,Ind,4.0,34.4,3.4,5.4,0.0,0.0,3.5,0.0,49.3,0.0
Islington South and Finsbury,London,Lab,8.4,53.7,9.5,17.5,0.0,0.0,7.9,0.0,1.3,1.7
Jarrow and Gateshead East,Northern England,Lab,9.1,51.3,4.7,6.5,0.0,0.0,26.9,0.0,0.0,1.4
Keighley and Ilkley,Northern England,Con,40.2,36.7,2.1,5.3,0.0,0.0,10.4,0.0,4.4,0.9
Kenilworth and Southam,Midlands,Con,36.4,24.0,19.6,5.9,0.0,0.0,13.0,0.0,0.0,1.1
Kensington and Bayswater,London,Lab,33.7,40.6,6.9,6.5,0.0,0.0,6.0,0.0,4.5,1.7
Kettering,Midlands,Lab,28.2,35.9,2.7,13.9,0.0,0.0,16.9,0.0,2.1,0.3
Kilmarnock and Loudoun,Scotland,Lab,8.3,44.9,2.0,2.9,32.8,0.0,8.2,0.0,0.9,0.0
Kingston and Surbiton,London,LDem,17.0,13.0,51.1,5.9,0.0,0.0,9.4,0.0,0.0,3.6
Kingston upon Hull East,Northern England,Lab,9.1,43.8,10.9,5.6,0.0,0.0,30.6,0.0,0.0,0.0
Kingston upon Hull North and Cottingham,Northern England,Lab,12.8,48.3,8.5,6.1,0.0,0.0,20.4,0.0,2.3,1.6
Kingston upon Hull West and Haltemprice,Northern England,Lab,18.1,46.8,6.9,4.6,0.0,0.0,23.3,0.0,0.0,0.3
Kingswinford and South Staffordshire,Midlands,Con,40.3,26.3,4.6,4.6,0.0,0.0,22.0,0.0,2.2,0.0
Knowsley,Northern England,Lab,4.2,67.3,3.4,7.7,0.0,0.0,16.4,0.0,0.0,1.1
Lagan Valley,Northern Ireland,APNI,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,99.1
Lancaster and Wyre,Northern England,Lab,23.4,44.9,3.6,12.2,0.0,0.0,16.0,0.0,0.0,0.0
Leeds Central and Headingley,Northern England,Lab,7.1,50.2,8.3,23.5,0.0,0.0,7.6,0.0,0.0,3.4
Leeds East,Northern England,Lab,17.5,47.2,3.7,8.9,0.0,0.0,18.6,0.0,1.0,3.0
Leeds North East,Northern England,Lab,15.9,51.5,4.8,13.1,0.0,0.0,7.6,0.0,0.0,7.1
Leeds North West,Northern England,Lab,22.1,46.0,11.3,6.5,0.0,0.0,11.9,0.0,0.0,2.2
Leeds South,Northern England,Lab,13.2,54.0,4.2,18.4,0.0,0.0,0.0,0.0,0.9,9.3
Leeds South West and Morley,Northern England,Lab,23.0,44.0,4.5,6.3,0.0,0.0,20.4,0.0,0.0,1.9
Leeds West and Pudsey,Northern England,Lab,17.1,49.3,4.5,9.9,0.0,0.0,16.3,0.0,0.0,2.9
Leicester East,Midlands,Con,31.1,21.6,13.5,4.6,0.0,0.0,5.6,0.0,15.7,7.9
Leicester South,Midlands,Ind,11.5,32.9,3.4,9.1,0.0,0.0,5.9,0.0,36.0,1.1
Leicester West,Midlands,Lab,19.8,44.6,6.2,11.6,0.0,0.0,16.0,0.0,0.0,1.8
Leigh and Atherton,Northern England,Lab,15.7,48.5,3.9,4.0,0.0,0.0,26.9,0.0,0.0,0.9
Lewes,Southern England,LDem,26.8,6.7,50.6,3.5,0.0,0.0,11.9,0.0,0.0,0.4
Lewisham East,London,Lab,10.8,58.2,6.1,13.7,0.0,0.0,8.5,0.0,0.0,2.7
Lewisham North,London,Lab,6.1,57.7,7.4,21.9,0.0,0.0,4.5,0.0,0.6,1.8
Lewisham West and East Dulwich,London,Lab,7.5,59.0,7.7,19.4,0.0,0.0,4.8,0.0,0.0,1.6
Leyton and Wanstead,London,Lab,11.1,47.5,6.4,15.5,0.0,0.0,5.7,0.0,9.5,4.3
Lichfield,Midlands,Lab,33.4,35.1,7.3,3.5,0.0,0.0,19.8,0.0,0.9,0.0
Lincoln,Midlands,Lab,23.0,43.8,6.1,6.5,0.0,0.0,18.0,0.0,0.6,2.0
Liverpool Garston,Northern England,Lab,7.0,58.4,7.7,6.7,0.0,0.0,10.5,0.0,0.6,9.1
Liverpool Riverside,Northern England,Lab,3.6,61.9,4.8,16.2,0.0,0.0,10.1,0.0,0.0,3.5
Liverpool Walton,Northern England,Lab,3.5,70.6,2.6,6.5,0.0,0.0,15.7,0.0,0.0,1.2
Liverpool Wavertree,Northern England,Lab,4.7,58.0,6.9,17.0,0.0,0.0,8.7,0.0,4.7,0.0
Liverpool West Derby,Northern England,Lab,4.1,66.6,3.4,7.0,0.0,0.0,12.8,0.0,0.0,6.1
Livingston,Scotland,Lab,7.7,40.9,4.5,3.8,33.0,0.0,8.9,0.0,0.0,1.2
Llanelli,Wales,Lab,10.5,31.3,3.1,2.7,0.0,23.3,27.6,0.0,0.0,1.5
Lothian East,Scotland,Lab,11.5,49.0,5.5,5.1,21.4,0.0,6.3,0.0,0.0,1.2
Loughborough,Midlands,Lab,29.1,40.8,6.1,7.0,0.0,0.0,17.0,0.0,0.0,0.0
Louth and Horncastle,Midlands,Con,37.5,22.5,5.1,5.4,0.0,0.0,25.7,0.0,2.9,0.9
Lowestoft,Southern England,Lab,29.8,34.6,3.6,7.4,0.0,0.0,24.7,0.0,0.0,0.0
Luton North,Southern England,Lab,18.5,37.9,4.9,5.0,0.0,0.0,12.0,0.0,11.3,10.4
Luton South and South Bedfordshire,Southern England,Lab,17.5,35.4,6.3,6.3,0.0,0.0,12.4,0.0,14.0,8.1
Macclesfield,Northern England,Lab,29.5,46.7,4.7,4.7,0.0,0.0,12.5,0.0,1.5,0.4
Maidenhead,Southern England,LDem,37.6,11.5,43.5,4.0,0.0,0.0,0.0,0.0,2.4,1.0
Maidstone and Malling,Southern England,Con,30.5,26.9,13.7,8.0,0.0,0.0,20.1,0.0,0.4,0.3
Makerfield,Northern England,Lab,10.9,45.2,6.8,4.4,0.0,0.0,31.8,0.0,0.0,0.9
Maldon,Southern England,Con,38.9,19.7,11.8,4.6,0.0,0.0,25.0,0.0,0.0,0.0
Manchester Central,Northern England,Lab,7.1,50.8,7.7,16.1,0.0,0.0,12.0,0.0,0.7,5.7
Manchester Rusholme,Northern England,Lab,5.8,51.9,0.0,23.5,0.0,0.0,4.5,0.0,1.2,13.2
Manchester Withington,Northern England,Lab,5.5,52.9,13.0,19.4,0.0,0.0,4.7,0.0,0.0,4.6
Mansfield,Midlands,Lab,30.6,39.1,1.9,3.2,0.0,0.0,22.8,0.0,1.0,1.3
Melksham and Devizes,Southern England,LDem,34.4,9.0,39.1,4.4,0.0,0.0,13.1,0.0,0.0,0.0
Melton and Syston,Midlands,Con,38.1,26.4,5.5,8.0,0.0,0.0,19.5,0.0,1.1,1.4
Meriden and Solihull East,Midlands,Con,38.1,27.7,7.6,6.7,0.0,0.0,19.9,0.0,0.0,0.0
Merthyr Tydfil and Aberdare,Wales,Lab,7.6,44.8,3.6,3.5,0.0,13.5,23.7,0.0,1.1,2.1
Mid and South Pembrokeshire,Wales,Lab,31.4,35.4,5.1,3.5,0.0,6.4,16.8,0.0,0.9,0.5
Mid Bedfordshire,Southern England,Con,34.1,31.4,8.2,5.2,0.0,0.0,17.3,0.0,3.4,0.3
Mid Buckinghamshire,Southern England,Con,37.3,17.0,26.5,5.5,0.0,0.0,12.8,0.0,0.0,0.9
Mid Cheshire,Northern England,Lab,23.0,44.5,5.9,4.7,0.0,0.0,19.2,0.0,2.7,0.0
Mid Derbyshire,Midlands,Lab,32.5,36.5,5.0,7.5,0.0,0.0,17.6,0.0,0.7,0.3
Mid Dorset and North Poole,Southern England,LDem,40.6,9.2,43.3,4.8,0.0,0.0,0.0,0.0,0.0,2.1
Mid Dunbartonshire,Scotland,LDem,4.6,20.8,42.4,3.3,24.0,0.0,4.0,0.0,0.0,0.9
Mid Leicestershire,Midlands,Con,36.9,32.3,5.1,7.1,0.0,0.0,18.6,0.0,0.0,0.0
Mid Norfolk,Southern England,Con,36.5,29.9,6.8,6.2,0.0,0.0,20.5,0.0,0.0,0.0
Mid Sussex,Southern England,LDem,27.1,17.6,39.6,3.8,0.0,0.0,11.1,0.0,0.0,0.7
Mid Ulster,Northern Ireland,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,99.6
Middlesbrough and Thornaby East,Northern England,Lab,17.9,47.2,3.0,4.4,0.0,0.0,20.5,0.0,1.1,5.8
Middlesbrough South and East Cleveland,Northern England,Lab,42.7,43.3,5.3,3.8,0.0,0.0,0.0,0.0,0.0,4.8
Midlothian,Scotland,Lab,7.4,48.6,5.9,0.0,30.1,0.0,7.4,0.0,0.0,0.6
Milton Keynes Central,Southern England,Lab,27.1,42.3,10.3,6.8,0.0,0.0,13.1,0.0,0.0,0.4
Milton Keynes North,Southern England,Lab,30.2,42.0,7.3,7.1,0.0,0.0,13.4,0.0,0.0,0.0
Mitcham and Morden,London,Lab,14.0,55.4,8.0,10.2,0.0,0.0,9.1,0.0,0.0,3.2
Monmouthshire,Wales,Lab,34.8,41.3,4.5,4.6,0.0,2.5,10.7,0.0,0.9,0.7
Montgomeryshire and Glyndŵr,Wales,Lab,18.0,29.4,15.0,4.0,0.0,13.1,20.6,0.0,0.0,0.0
"Moray West, Nairn and Strathspey",Scotland,SNP,30.0,17.7,8.1,3.6,32.1,0.0,7.5,0.0,0.0,0.9
Morecambe and Lunesdale,Northern England,Lab,28.7,40.8,9.9,4.3,0.0,0.0,16.3,0.0,0.0,0.0
"Motherwell, Wishaw and Carluke",Scotland,Lab,6.2,49.1,2.1,3.1,31.0,0.0,7.7,0.0,0.0,0.9
Na h-Eileanan an Iar,Scotland,Lab,4.8,49.5,2.8,0.0,21.1,0.0,5.2,0.0,10.1,6.5
Neath and Swansea East,Wales,Lab,9.4,41.8,5.8,4.3,0.0,13.3,25.3,0.0,0.0,0.0
New Forest East,Southern England,Con,38.5,19.7,15.9,6.9,0.0,0.0,16.9,0.0,0.0,2.1
New Forest West,Southern England,Con,35.4,23.3,17.7,6.0,0.0,0.0,16.4,0.0,0.0,1.2
Newark,Midlands,Con,39.2,32.5,5.7,4.4,0.0,0.0,15.5,0.0,0.6,2.1
Newbury,Southern England,LDem,35.3,7.5,40.1,5.5,0.0,0.0,10.9,0.0,0.0,0.6
Newcastle upon Tyne Central and West,Northern England,Lab,10.2,45.6,4.7,7.8,0.0,0.0,18.9,0.0,12.7,0.0
Newcastle upon Tyne East and Wallsend,Northern England,Lab,8.3,50.1,7.0,12.4,0.0,0.0,19.8,0.0,0.0,2.3
Newcastle upon Tyne North,Northern England,Lab,13.7,50.3,12.2,10.4,0.0,0.0,12.2,0.0,0.6,0.6
Newcastle-under-Lyme,Midlands,Lab,27.6,40.4,5.0,4.7,0.0,0.0,22.4,0.0,0.0,0.0
Newport East,Wales,Lab,16.8,42.5,5.3,5.4,0.0,5.8,19.1,0.0,4.7,0.4
Newport West and Islwyn,Wales,Lab,16.0,41.5,5.0,5.0,0.0,8.4,20.4,0.0,3.8,0.0
Newry and Armagh,Northern Ireland,SF,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8
Newton Abbot,Southern England,LDem,27.0,14.8,31.7,4.3,0.0,0.0,17.7,0.0,0.0,4.5
Newton Aycliffe and Spennymoor,Northern England,Lab,20.6,46.2,3.7,4.3,0.0,0.0,24.0,0.0,0.0,1.3
Normanton and Hemsworth,Northern England,Lab,13.7,47.5,3.6,5.9,0.0,0.0,29.2,0.0,0.0,0.0
North Antrim,Northern Ireland,TUV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,99.7
North Ayrshire and Arran,Scotland,Lab,14.1,39.8,2.4,3.1,31.4,0.0,8.1,0.0,0.0,1.1
North Bedfordshire,Southern England,Con,38.8,28.3,10.8,5.9,0.0,0.0,16.4,0.0,0.0,0.0
North Cornwall,Southern England,LDem,27.6,5.8,47.0,2.6,0.0,0.0,16.5,0.0,0.0,0.5
North Cotswolds,Southern England,Con,34.7,17.1,28.0,6.4,0.0,0.0,12.9,0.0,0.9,0.0
North Devon,Southern England,LDem,29.3,6.3,42.4,4.6,0.0,0.0,15.8,0.0,1.6,0.0
North Dorset,Southern England,Con,36.6,8.8,33.5,4.2,0.0,0.0,15.9,0.0,0.6,0.4
North Down,Northern Ireland,Ind,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,48.6,48.5
North Durham,Northern England,Lab,15.6,39.8,10.1,5.7,0.0,0.0,25.7,0.0,0.0,3.0
North East Cambridgeshire,Southern England,Con,41.5,20.4,6.9,5.1,0.0,0.0,23.1,0.0,2.4,0.5
North East Derbyshire,Midlands,Lab,34.5,38.4,4.7,5.0,0.0,0.0,17.2,0.0,0.0,0.2
North East Fife,Scotland,LDem,3.9,9.4,54.7,3.9,23.2,0.0,4.9,0.0,0.0,0.0
North East Hampshire,Southern England,LDem,37.0,9.1,38.1,2.6,0.0,0.0,12.0,0.0,0.0,1.2
North East Hertfordshire,Southern England,Lab,31.3,35.0,10.4,7.2,0.0,0.0,16.1,0.0,0.0,0.0
North East Somerset and Hanham,Southern England,Lab,30.2,40.6,7.6,6.3,0.0,0.0,14.5,0.0,0.5,0.4
North Herefordshire,Midlands,Grn,31.5,6.4,2.9,43.2,0.0,0.0,16.0,0.0,0.0,0.2
North Norfolk,Southern England,LDem,35.9,6.1,41.4,3.0,0.0,0.0,13.5,0.0,0.0,0.0
North Northumberland,Northern England,Lab,26.2,36.6,10.6,3.6,0.0,0.0,15.7,0.0,7.2,0.2
North Shropshire,Midlands,LDem,22.0,6.9,52.9,2.5,0.0,0.0,15.5,0.0,0.3,0.0
North Somerset,Southern England,Lab,34.4,35.6,13.2,6.1,0.0,0.0,10.4,0.0,0.0,0.2
North Warwickshire and Bedworth,Midlands,Lab,30.6,36.0,3.0,4.3,0.0,0.0,26.1,0.0,0.0,0.0
North West Cambridgeshire,Southern England,Lab,33.2,33.3,7.2,6.7,0.0,0.0,19.7,0.0,0.0,0.0
North West Essex,Southern England,Con,35.6,30.8,11.1,5.2,0.0,0.0,14.1,0.0,3.1,0.0
North West Hampshire,Southern England,Con,35.0,28.5,15.0,5.4,0.0,0.0,15.2,0.0,0.0,0.9
North West Leicestershire,Midlands,Lab,32.7,34.7,3.4,5.8,0.0,0.0,19.9,0.0,3.5,0.0
North West Norfolk,Southern England,Con,36.1,25.0,14.6,4.8,0.0,0.0,19.5,0.0,0.0,0.0
Northampton North,Midlands,Lab,22.0,43.5,5.4,6.1,0.0,0.0,16.8,0.0,2.5,3.7
Northampton South,Midlands,Lab,29.2,38.5,7.3,5.5,0.0,0.0,18.7,0.0,0.0,0.9
Norwich North,Southern England,Lab,21.7,45.4,4.5,9.6,0.0,0.0,18.0,0.0,0.8,0.0
Norwich South,Southern England,Lab,12.9,47.6,7.9,18.3,0.0,0.0,11.6,0.0,0.7,1.0
Nottingham East,Midlands,Lab,10.8,53.6,4.8,11.9,0.0,0.0,9.8,0.0,2.4,6.8
Nottingham North and Kimberley,Midlands,Lab,19.4,47.1,3.8,9.6,0.0,0.0,20.1,0.0,0.0,0.0
Nottingham South,Midlands,Lab,16.1,47.4,6.3,8.9,0.0,0.0,15.0,0.0,1.8,4.6
Nuneaton,Midlands,Lab,28.5,36.9,3.3,7.0,0.0,0.0,22.0,0.0,0.0,2.3
Old Bexley and Sidcup,London,Con,37.6,30.2,4.0,5.5,0.0,0.0,21.8,0.0,0.4,0.5
Oldham East and Saddleworth,Northern England,Lab,17.1,35.2,8.5,3.7,0.0,0.0,19.3,0.0,4.7,11.6
"Oldham West, Chadderton and Royton",Northern England,Lab,10.5,34.3,3.3,4.8,0.0,0.0,17.8,0.0,29.3,0.0
Orkney and Shetland,Scotland,LDem,2.8,7.2,55.1,9.9,17.3,0.0,7.7,0.0,0.0,0.0
Orpington,London,Con,38.0,26.9,10.3,5.0,0.0,0.0,19.3,0.0,0.0,0.5
Ossett and Denby Dale,Northern England,Lab,28.9,39.3,4.1,4.9,0.0,0.0,21.0,0.0,0.0,1.8
Oxford East,Southern England,Lab,12.0,49.7,8.7,12.9,0.0,0.0,0.0,0.0,6.0,10.6
Oxford West and Abingdon,Southern England,LDem,18.5,13.0,50.9,7.0,0.0,0.0,9.1,0.0,0.4,1.1
Paisley and Renfrewshire North,Scotland,Lab,6.4,47.1,3.3,3.5,31.9,0.0,7.8,0.0,0.0,0.0
Paisley and Renfrewshire South,Scotland,Lab,5.4,47.4,3.2,4.2,31.6,0.0,7.2,0.0,0.8,0.3
Peckham,London,Lab,5.9,58.8,7.0,19.6,0.0,0.0,4.6,0.0,1.8,2.3
Pendle and Clitheroe,Northern England,Lab,32.6,34.5,4.4,3.0,0.0,0.0,17.5,0.0,6.9,1.1
Penistone and Stocksbridge,Northern England,Lab,23.7,43.6,6.5,4.6,0.0,0.0,21.5,0.0,0.0,0.0
Penrith and Solway,Northern England,Lab,29.9,40.6,9.6,3.5,0.0,0.0,15.5,0.0,0.6,0.3
Perth and Kinross-shire,Scotland,SNP,29.6,18.0,7.4,0.0,37.8,0.0,5.9,0.0,1.4,0.0
Peterborough,Southern England,Lab,31.8,32.0,4.2,6.1,0.0,0.0,12.8,0.0,0.5,12.6
Plymouth Moor View,Southern England,Lab,28.1,41.2,4.1,4.0,0.0,0.0,22.6,0.0,0.0,0.0
Plymouth Sutton and Devonport,Southern England,Lab,16.3,49.4,5.8,7.6,0.0,0.0,17.7,0.0,1.5,1.7
"Pontefract, Castleford and Knottingley",Northern England,Lab,15.0,47.5,3.4,4.6,0.0,0.0,29.1,0.0,0.0,0.4
Pontypridd,Wales,Lab,9.6,41.2,4.1,4.7,0.0,13.4,19.9,0.0,7.1,0.0
Poole,Southern England,Lab,31.8,31.8,12.4,5.0,0.0,0.0,16.7,0.0,1.6,0.7
Poplar and Limehouse,London,Lab,11.0,43.1,9.7,13.9,0.0,0.0,7.9,0.0,10.6,3.8
Portsmouth North,Southern England,Lab,33.0,34.8,7.3,4.5,0.0,0.0,20.4,0.0,0.0,0.0
Portsmouth South,Southern England,Lab,14.5,48.4,12.6,8.0,0.0,0.0,14.6,0.0,0.0,1.9
Preston,Northern England,Lab,13.0,35.0,8.0,4.4,0.0,0.0,14.3,0.0,24.0,1.2
Putney,London,Lab,23.6,48.9,12.1,7.5,0.0,0.0,6.2,0.0,0.0,1.7
Queen's Park and Maida Vale,London,Lab,13.3,52.5,8.9,13.6,0.0,0.0,5.5,0.0,1.6,4.7
Rawmarsh and Conisbrough,Northern England,Lab,13.3,49.0,3.4,5.0,0.0,0.0,28.6,0.0,0.0,0.8
Rayleigh and Wickford,Southern England,Con,37.0,24.6,8.5,4.6,0.0,0.0,25.3,0.0,0.0,0.0
Reading Central,Southern England,Lab,19.8,47.7,8.8,14.2,0.0,0.0,8.6,0.0,0.5,0.5
Reading West and Mid Berkshire,Southern England,Lab,32.0,35.0,11.0,6.8,0.0,0.0,13.4,0.0,1.8,0.0
Redcar,Northern England,Lab,32.3,41.0,4.0,3.3,0.0,0.0,18.9,0.0,0.0,0.4
Redditch,Midlands,Lab,33.1,34.9,5.1,5.0,0.0,0.0,20.1,0.0,0.0,1.8
Reigate,Southern England,Con,35.4,29.4,12.7,8.8,0.0,0.0,13.6,0.0,0.0,0.0
Rhondda and Ogmore,Wales,Lab,5.7,47.8,2.6,3.3,0.0,14.5,26.1,0.0,0.0,0.0
