Constituency name,Region,Winner,con_pct,lab_pct,ldem_pct,grn_pct,snp_pct,pc_pct,ref_pct,rstr_pct,ind_pct,oth_pct
Birmingham Perry Barr,Midlands,Ind,11.3,34.1,3.5,6.5,0.0,0.0,6.5,0.0,36.9,1.2
Birmingham Selly Oak,Midlands,Lab,15.2,45.2,6.0,11.2,0.0,0.0,14.9,0.0,7.4,0.0
Birmingham Yardley,Midlands,Lab,10.1,31.2,10.1,5.4,0.0,0.0,14.0,0.0,0.0,29.3
Bishop Auckland,Northern England,Lab,25.6,42.1,3.4,4.6,0.0,0.0,23.4,0.0,0.0,0.8
Blackburn,Northern England,Ind,8.9,26.7,1.8,3.6,0.0,0.0,12.5,0.0,28.2,18.3
Blackley and Middleton South,Northern England,Lab,9.8,53.8,5.1,10.2,0.0,0.0,21.1,0.0,0.0,0.0
Blackpool North and Fleetwood,Northern England,Lab,28.9,40.0,3.2,3.0,0.0,0.0,23.7,0.0,0.4,0.8
Blackpool South,Northern England,Lab,15.6,48.1,3.0,3.4,0.0,0.0,28.6,0.0,0.7,0.5
Blaenau Gwent and Rhymney,Wales,Lab,12.6,53.6,4.2,5.7,0.0,12.8,0.0,0.0,8.1,2.9
Blaydon and Consett,Northern England,Lab,14.3,50.1,5.4,6.1,0.0,0.0,23.7,0.0,0.0,0.3
Blyth and Ashington,Northern England,Lab,15.2,49.6,3.5,4.9,0.0,0.0,26.9,0.0,0.0,0.0
Bognor Regis and Littlehampton,Southern England,Con,32.8,29.1,10.6,4.6,0.0,0.0,21.5,0.0,0.0,1.5
Bolsover,Midlands,Lab,25.6,40.5,3.5,8.8,0.0,0.0,21.5,0.0,0.0,0.0
Bolton North East,Northern England,Lab,21.9,37.3,3.5,10.8,0.0,0.0,21.7,0.0,1.4,3.4
Bolton South and Walkden,Northern England,Lab,11.3,40.9,3.7,7.7,0.0,0.0,22.6,0.0,1.2,12.7
Bolton West,Northern England,Lab,27.8,38.9,4.4,9.3,0.0,0.0,19.1,0.0,0.0,0.5
Bootle,Northern England,Lab,4.3,68.7,3.3,10.0,0.0,0.0,12.2,0.0,0.0,1.4
Boston and Skegness,Midlands,Ref,33.4,18.9,3.4,3.7,0.0,0.0,38.4,0.0,0.0,2.3
Bournemouth East,Southern England,Lab,28.6,40.8,6.9,6.2,0.0,0.0,14.0,0.0,3.4,0.2
Bournemouth West,Southern England,Lab,28.3,36.4,10.9,6.6,0.0,0.0,16.9,0.0,0.0,0.9
Bracknell,Southern England,Lab,31.9,33.7,10.9,4.9,0.0,0.0,17.0,0.0,1.1,0.4
Bradford East,Northern England,Lab,9.3,37.9,5.1,6.9,0.0,0.0,13.3,0.0,25.3,2.2
Bradford South,Northern England,Lab,14.7,35.8,2.9,10.2,0.0,0.0,22.5,0.0,10.1,3.8
Bradford West,Northern England,Lab,8.2,31.6,2.0,10.0,0.0,0.0,8.0,0.0,40.2,0.0
Braintree,Southern England,Con,35.5,28.0,5.9,5.9,0.0,0.0,23.1,0.0,1.6,0.0
"Brecon, Radnor and Cwm Tawe",Wales,LDem,26.3,21.3,29.5,2.6,0.0,4.9,14.1,0.0,0.0,1.3
Brent East,London,Lab,16.7,51.2,7.0,9.9,0.0,0.0,5.4,0.0,7.1,2.8
Brent West,London,Lab,32.5,41.7,7.3,6.8,0.0,0.0,5.0,0.0,0.0,6.7
Brentford and Isleworth,London,Lab,22.5,44.2,8.5,8.9,0.0,0.0,8.7,0.0,1.1,6.1
Brentwood and Ongar,Southern England,Con,36.7,22.9,12.0,3.7,0.0,0.0,24.3,0.0,0.0,0.4
Bridgend,Wales,Lab,16.3,39.9,3.5,4.3,0.0,8.8,19.1,0.0,8.1,0.0
Bridgwater,Southern England,Con,30.6,27.2,14.4,4.3,0.0,0.0,22.2,0.0,0.8,0.4
Bridlington and The Wolds,Northern England,Con,34.6,27.3,7.2,3.7,0.0,0.0,24.1,0.0,0.7,2.4
Brigg and Immingham,Northern England,Con,37.4,29.8,3.4,4.5,0.0,0.0,24.9,0.0,0.0,0.0
Brighton Kemptown and Peacehaven,Southern England,Lab,20.2,44.0,9.7,19.7,0.0,0.0,0.0,0.0,4.5,1.9
Brighton Pavilion,Southern England,Grn,7.6,27.7,3.1,55.0,0.0,0.0,5.4,0.0,0.3,0.8
Bristol Central,Southern England,Grn,4.6,32.6,2.7,56.6,0.0,0.0,3.1,0.0,0.0,0.5
Bristol East,Southern England,Lab,14.0,45.0,5.9,30.7,0.0,0.0,0.0,0.0,3.3,1.2
Bristol North East,Southern England,Lab,14.8,45.3,4.7,18.7,0.0,0.0,12.9,0.0,2.5,1.2
Bristol North West,Southern England,Lab,14.0,49.6,8.6,17.3,0.0,0.0,10.0,0.0,0.0,0.5
Bristol South,Southern England,Lab,11.4,42.7,6.3,25.0,0.0,0.0,14.3,0.0,0.0,0.4
Broadland and Fakenham,Southern England,Con,33.0,31.5,11.2,6.5,0.0,0.0,17.9,0.0,0.0,0.0
Bromley and Biggin Hill,London,Con,34.0,33.4,9.3,5.5,0.0,0.0,17.5,0.0,0.0,0.2
Bromsgrove,Midlands,Con,32.8,26.8,14.7,3.3,0.0,0.0,19.0,0.0,3.1,0.3
Broxbourne,Southern England,Con,36.8,30.2,6.3,5.7,0.0,0.0,20.4,0.0,0.0,0.6
Broxtowe,Midlands,Lab,23.3,40.9,8.0,7.3,0.0,0.0,17.6,0.0,2.2,0.8
Buckingham and Bletchley,Southern England,Lab,31.9,36.9,9.0,5.4,0.0,0.0,15.7,0.0,1.0,0.0
Burnley,Northern England,Lab,20.3,31.7,23.1,3.8,0.0,0.0,19.5,0.0,1.5,0.0
Burton and Uttoxeter,Midlands,Lab,30.6,35.6,3.6,4.6,0.0,0.0,21.1,0.0,0.0,4.5
Bury North,Northern England,Lab,27.9,43.1,2.9,3.8,0.0,0.0,16.2,0.0,1.9,4.2
Bury South,Northern England,Lab,23.4,45.6,4.3,6.4,0.0,0.0,16.3,0.0,0.7,3.4
Bury St Edmunds and Stowmarket,Southern England,Lab,30.0,32.9,6.2,11.3,0.0,0.0,16.9,0.0,1.6,1.0
Caerfyrddin,Wales,PC,19.4,24.1,3.2,3.0,0.0,34.0,15.2,0.0,0.0,1.1
Caerphilly,Wales,Lab,11.5,38.0,4.7,4.3,0.0,21.2,20.3,0.0,0.0,0.0
"Caithness, Sutherland and Easter Ross",Scotland,LDem,4.0,7.4,49.4,3.6,26.6,0.0,7.3,0.0,0.0,1.7
Calder Valley,Northern England,Lab,26.3,44.4,5.2,7.5,0.0,0.0,15.4,0.0,0.0,1.2
Camborne and Redruth,Southern England,Lab,24.2,40.5,8.6,5.9,0.0,0.0,18.7,0.0,0.0,2.0
Cambridge,Southern England,Lab,12.0,46.6,20.3,16.3,0.0,0.0,0.0,0.0,1.9,2.9
Cannock Chase,Midlands,Lab,29.2,36.5,2.4,5.0,0.0,0.0,26.9,0.0,0.0,0.0
Canterbury,Southern England,Lab,23.0,41.4,8.1,12.5,0.0,0.0,14.4,0.0,0.0,0.6
Cardiff East,Wales,Lab,10.0,40.5,17.2,10.0,0.0,9.1,12.7,0.0,0.0,0.5
Cardiff North,Wales,Lab,20.3,43.9,6.7,6.7,0.0,9.8,12.6,0.0,0.0,0.0
Cardiff South and Penarth,Wales,Lab,13.9,44.5,7.4,14.5,0.0,8.2,11.5,0.0,0.0,0.0
Cardiff West,Wales,Lab,15.3,36.7,4.3,7.1,0.0,21.1,12.6,0.0,0.5,2.5
Carlisle,Northern England,Lab,28.1,39.4,6.5,4.2,0.0,0.0,20.2,0.0,1.0,0.5
Carshalton and Wallington,London,LDem,26.2,13.1,43.1,3.3,0.0,0.0,12.7,0.0,0.0,1.6
Castle Point,Southern England,Con,38.1,23.3,3.3,5.2,0.0,0.0,30.1,0.0,0.0,0.0
Central Ayrshire,Scotland,Lab,14.8,43.7,2.4,2.5,27.1,0.0,8.3,0.0,0.0,1.2
Central Devon,Southern England,Con,31.5,31.4,15.4,6.2,0.0,0.0,14.6,0.0,0.9,0.0
Central Suffolk and North Ipswich,Southern England,Con,32.6,23.4,11.6,12.2,0.0,0.0,19.0,0.0,1.2,0.0
Ceredigion Preseli,Wales,PC,10.3,11.6,15.0,4.0,0.0,46.9,11.6,0.0,0.0,0.5
Chatham and Aylesford,Southern England,Lab,28.6,33.5,5.3,6.1,0.0,0.0,24.5,0.0,0.0,2.0
